Actual,Predicted,Count
mothbeans,orange,0
mothbeans,papaya,0
mothbeans,pigeonpeas,0
mothbeans,pomegranate,0
mothbeans,rice,0
mothbeans,watermelon,0
mungbean,apple,0
mungbean,banana,0
mungbean,blackgram,0
mungbean,chickpea,0
mungbean,coconut,0
mungbean,coffee,0
mungbean,cotton,0
mungbean,grapes,0
mungbean,jute,0
mungbean,kidneybeans,0
mungbean,lentil,0
mungbean,maize,0
mungbean,mango,0
mungbean,mothbeans,0
mungbean,mungbean,0
mungbean,muskmelon,0
mungbean,orange,0
mungbean,papaya,0
mungbean,pigeonpeas,0
mungbean,pomegranate,0
mungbean,rice,0
mungbean,watermelon,0
muskmelon,apple,0
muskmelon,banana,0
muskmelon,blackgram,0
muskmelon,chickpea,0
muskmelon,coconut,0
muskmelon,coffee,0
muskmelon,cotton,0
muskmelon,grapes,0
muskmelon,jute,0
muskmelon,kidneybeans,0
muskmelon,lentil,0
muskmelon,maize,0
muskmelon,mango,0
muskmelon,mothbeans,0
muskmelon,mungbean,0
muskmelon,muskmelon,0
muskmelon,orange,0
muskmelon,papaya,0
muskmelon,pigeonpeas,0
muskmelon,pomegranate,0
muskmelon,rice,0
muskmelon,watermelon,0
orange,apple,0
orange,banana,0
orange,blackgram,0
orange,chickpea,0
orange,coconut,0
orange,coffee,0
orange,cotton,0
orange,grapes,0
orange,jute,0
orange,kidneybeans,0
orange,lentil,0
orange,maize,0
orange,mango,0
orange,mothbeans,0
orange,mungbean,0
orange,muskmelon,0
orange,orange,0
orange,papaya,0
orange,pigeonpeas,0
orange,pomegranate,0
orange,rice,0
orange,watermelon,0
papaya,apple,0
papaya,banana,0
papaya,blackgram,0
papaya,chickpea,0
papaya,coconut,0
papaya,coffee,0
papaya,cotton,0
papaya,grapes,0
papaya,jute,0
papaya,kidneybeans,0
papaya,lentil,0
papaya,maize,0
papaya,mango,0
papaya,mothbeans,0
papaya,mungbean,0
papaya,muskmelon,0
papaya,orange,0
papaya,papaya,39
papaya,pigeonpeas,0
papaya,pomegranate,0
papaya,rice,1
papaya,watermelon,0
pigeonpeas,apple,0
pigeonpeas,banana,0
pigeonpeas,blackgram,0
pigeonpeas,chickpea,0
pigeonpeas,coconut,0
pigeonpeas,coffee,0
pigeonpeas,cotton,0
pigeonpeas,grapes,0
pigeonpeas,jute,0
pigeonpeas,kidneybeans,0
pigeonpeas,lentil,0
pigeonpeas,maize,0
pigeonpeas,mango,0
pigeonpeas,mothbeans,0
pigeonpeas,mungbean,0
pigeonpeas,muskmelon,0
pigeonpeas,orange,0
pigeonpeas,papaya,0
pigeonpeas,pigeonpeas,0
pigeonpeas,pomegranate,0
pigeonpeas,rice,0
pigeonpeas,watermelon,0
pomegranate,apple,0
pomegranate,banana,0
pomegranate,blackgram,0
pomegranate,chickpea,0
pomegranate,coconut,0
pomegranate,coffee,0
pomegranate,cotton,0
pomegranate,grapes,0
pomegranate,jute,0
pomegranate,kidneybeans,0
pomegranate,lentil,0
pomegranate,maize,0
pomegranate,mango,0
pomegranate,mothbeans,0
pomegranate,mungbean,0
pomegranate,muskmelon,0
pomegranate,orange,0
pomegranate,papaya,0
pomegranate,pigeonpeas,0
pomegranate,pomegranate,0
pomegranate,rice,0
pomegranate,watermelon,0
rice,apple,0
rice,banana,0
rice,blackgram,0
rice,chickpea,0
rice,coconut,0
rice,coffee,0
rice,cotton,0
rice,grapes,0
rice,jute,0
rice,kidneybeans,0
rice,lentil,0
rice,maize,0
rice,mango,0
rice,mothbeans,0
rice,mungbean,0
rice,muskmelon,0
rice,orange,0
rice,papaya,0
rice,pigeonpeas,0
rice,pomegranate,0
rice,rice,0
rice,watermelon,0
watermelon,apple,0
watermelon,banana,0
watermelon,blackgram,0
watermelon,chickpea,0
watermelon,coconut,0
watermelon,coffee,0
watermelon,cotton,0
watermelon,grapes,0
watermelon,jute,0
watermelon,kidneybeans,0
watermelon,lentil,0
watermelon,maize,0
watermelon,mango,0
watermelon,mothbeans,0
watermelon,mungbean,0
watermelon,muskmelon,0
watermelon,orange,0
watermelon,papaya,0
watermelon,pigeonpeas,0
watermelon,pomegranate,0
watermelon,rice,0
watermelon,watermelon,0
